threshold,precision,recall,f1
0.01,0.08095218517452617,1.0,0.1497794005781226
0.02,0.08455818779180356,0.9933976637887253,0.15585036452730966
0.03,0.09121589046379328,0.9608938547486033,0.16661529655233148
0.04,0.10052998605299861,0.915185373285932,0.18116014878857947
0.05,0.1122823403829475,0.8547486033519553,0.1984903880174549
0.060000000000000005,0.12683403977828497,0.7902488572879635,0.2185853761326122
0.06999999999999999,0.13844621513944222,0.7059421025901473,0.23149304688150554
0.08,0.15248054474708173,0.6368715083798883,0.24605121161581478
0.09,0.16297816209878352,0.5647536820721178,0.2529572338489536
0.09999999999999999,0.17588028169014083,0.5073641442356526,0.2612106157667669
0.11,0.1896043771043771,0.457592686642966,0.2681148638595447
0.12,0.1970675944333996,0.4027425088877603,0.2646420824295011
0.13,0.20680551481372836,0.3580497714575927,0.2621792487913723
0.14,0.2217573221757322,0.32300660233621126,0.2629729170973744
0.15000000000000002,0.23220821472143147,0.2899949212798375,0.25790424570912374
0.16,0.24287072243346008,0.2595226003047232,0.2509206972747361
0.17,0.256986301369863,0.23819197562214323,0.24723247232472326
0.18000000000000002,0.2718631178707224,0.21787709497206703,0.24189455878206936
0.19,0.28403237674760856,0.19603859827323514,0.23197115384615385
0.2,0.29163144547759934,0.17521584560690706,0.21890862944162437
0.21000000000000002,0.29990356798457085,0.1579481970543423,0.20691949434464404
0.22,0.31526548672566373,0.1447435246317928,0.1983988861816916
0.23,0.32697201017811706,0.13052310817673946,0.18656987295825772
0.24000000000000002,0.34104046242774566,0.11985779583544946,0.17737692596768131
0.25,0.34710743801652894,0.10665312341289995,0.16317016317016317
0.26,0.361376673040153,0.09598781107160996,0.15168539325842698
0.27,0.3655913978494624,0.08633824276282377,0.13968775677896467
0.28,0.37037037037037035,0.07618080243778567,0.12636899747262004
0.29000000000000004,0.3901098901098901,0.07211782630777044,0.12173167595370767
0.3,0.4054878048780488,0.0675469781615033,0.11580322159338267
0.31,0.4166666666666667,0.06348400203148806,0.11018069634200088
0.32,0.4280442804428044,0.05891315388522093,0.10357142857142858
0.33,0.43568464730290457,0.053326561706449976,0.09502262443438914
0.34,0.4409090909090909,0.04926358557643474,0.08862494289629969
0.35000000000000003,0.46153846153846156,0.0457084814626714,0.08317929759704251
0.36000000000000004,0.47752808988764045,0.043169121381411886,0.0791802515137401
0.37,0.47530864197530864,0.03910614525139665,0.07226654152979822
0.38,0.5035971223021583,0.03555104113763331,0.06641366223908918
0.39,0.5,0.03250380904012189,0.06103958035288507
0.4,0.5,0.029456576942610464,0.055635491606714625
0.41000000000000003,0.5048543689320388,0.026409344845099034,0.05019305019305019
0.42000000000000004,0.5054945054945055,0.023362112747587607,0.04466019417475728
0.43,0.5232558139534884,0.0228542407313357,0.043795620437956206
0.44,0.5512820512820513,0.021838496698831894,0.04201270151441133
0.45,0.5466666666666666,0.020822752666328086,0.040117416829745595
0.46,0.5522388059701493,0.018791264601320468,0.036345776031434185
0.47000000000000003,0.5614035087719298,0.016251904520060943,0.0315893385982231
0.48000000000000004,0.5957446808510638,0.014220416455053326,0.027777777777777776
0.49,0.627906976744186,0.013712544438801422,0.0268389662027833
0.5,0.6153846153846154,0.01218892839004571,0.02390438247011952
0.51,0.6470588235294118,0.0111731843575419,0.02196704942586121
0.52,0.6363636363636364,0.010665312341289994,0.02097902097902098
0.53,0.6785714285714286,0.009649568308786187,0.01902854281422133
0.54,0.76,0.009649568308786187,0.01905717151454363
0.55,0.85,0.008633824276282377,0.017094017094017096
0.56,0.85,0.008633824276282377,0.017094017094017096
0.5700000000000001,0.8823529411764706,0.007618080243778568,0.015105740181268883
0.5800000000000001,0.875,0.007110208227526663,0.014105793450881612
0.59,0.9166666666666666,0.00558659217877095,0.01110550227158001
0.6,0.9,0.0045708481462671405,0.009095502779181405
0.61,0.9,0.0045708481462671405,0.009095502779181405
0.62,0.9,0.0045708481462671405,0.009095502779181405
0.63,0.8571428571428571,0.0030472320975114273,0.006072874493927126
0.64,0.8571428571428571,0.0030472320975114273,0.006072874493927126
0.65,0.8571428571428571,0.0030472320975114273,0.006072874493927126
0.66,0.8333333333333334,0.0025393600812595226,0.005063291139240506
0.67,0.8,0.002031488065007618,0.004052684903748734
0.68,0.8,0.002031488065007618,0.004052684903748734
0.6900000000000001,1.0,0.002031488065007618,0.0040547389761784085
0.7000000000000001,1.0,0.002031488065007618,0.0040547389761784085
0.7100000000000001,1.0,0.001015744032503809,0.0020294266869609334
0.72,1.0,0.001015744032503809,0.0020294266869609334
0.73,1.0,0.001015744032503809,0.0020294266869609334
0.74,1.0,0.001015744032503809,0.0020294266869609334
0.75,1.0,0.001015744032503809,0.0020294266869609334
0.76,1.0,0.0005078720162519045,0.0010152284263959391
0.77,1.0,0.0005078720162519045,0.0010152284263959391
0.78,0.0,0.0,0.0
0.79,0.0,0.0,0.0
0.8,0.0,0.0,0.0
0.81,0.0,0.0,0.0
0.8200000000000001,0.0,0.0,0.0
0.8300000000000001,0.0,0.0,0.0
0.8400000000000001,0.0,0.0,0.0
0.85,0.0,0.0,0.0
0.86,0.0,0.0,0.0
0.87,0.0,0.0,0.0
0.88,0.0,0.0,0.0
0.89,0.0,0.0,0.0
0.9,0.0,0.0,0.0
0.91,0.0,0.0,0.0
0.92,0.0,0.0,0.0
0.93,0.0,0.0,0.0
0.9400000000000001,0.0,0.0,0.0
0.9500000000000001,0.0,0.0,0.0
0.9600000000000001,0.0,0.0,0.0
0.97,0.0,0.0,0.0
0.98,0.0,0.0,0.0
0.99,0.0,0.0,0.0
